listing_id,url,title,price,rent_period,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,price_per_sqm,anomaly_score,is_anomaly,السبب_المرجّح
6792188,https://sa.aqar.fm/شقق-للإيجار/الرياض/شمال-الرياض/حي-الصحافة/شارع-رقم-28-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6792188,"شقة للإيجار في شارع رقم 28, حي الصحافة, مدينة الرياض, منطقة الرياض",200000.0,,73.0,5.0,2.0,1.0,0.0,حي الصحافة,الرياض,شمال الرياض,"🏢 شقة فاخرة للإيجار - برج رويال ريزيدنس
حي الصحافة | الدور العاشر (10)
📍 تميز الإطلالة والموقع:
• إطلالة بانورامية كاشفة لـ 3 جهات رئيسية.
• واجهة مباشرة على طريق الملك فهد وبرج رافال.
• إطلالة شمالية مميزة على مبنى وكالة الأنباء السعودية (واس).
📋 تفاصيل الشقة:
• 2 غرفة نوم + صالة استقبال واسعة.
• مطبخ نظام أمريكي (مفتوح) + 2 دورة مياه.
• تكييف مركزي.
• تشطيب فاخر.
✨ مرافق وخدمات البرج:
• قبو سيارات مكون من 4 طوابق مخصص للسكان والزوار.
• لوبي استقبال فاخر، بالإضافة إلى لاونج أعمال واستقبال مستقل للرجال وآخر للسيدات.
• صالات رياضية متكاملة ومنفصلة (قسم للرجال / قسم للنساء).
• يتوفر مصلى خاص داخل البرج.
• الموقع قريب جداً من محطات الباص وكافة الخدمات الحيوية.

🏢 Luxury Apartment for Rent - Royal Residence Tower
‏As Sahafah District | 10th Floor
📍 Prime View & Location:
• Panoramic view overlooking 3 main directions.
• Direct frontage facing King Fahd Road and Rafal Tower.
• Distinctive northern view of the Saudi Press Agency (SPA) building.
📋 Apartment Details:
• Rooms: 2 Bedrooms + Spacious reception lounge.
• Open American-style kitchen + 2 Bathrooms.
• Full central AC.
• High-end luxury finishing
✨ Tower Amenities & Services:
• Parking: Advanced 4-level basement parking for residents and visitors.
• Luxury lobby, plus separate business and reception lounges for men and women.
• Fully equipped separate gyms (Men's and Women's sections).
• Dedicated prayer room available within the tower.
• Very close to bus stations and all vital services.",24.795478,46.631714,https://images.aqar.fm/webp/750x0/props/041087057_1785127530364.jpg | https://images.aqar.fm/webp/750x0/props/041087052_1785127530388.jpg | https://images.aqar.fm/webp/750x0/props/041087053_1785127530358.jpg | https://images.aqar.fm/webp/750x0/props/041087058_1785127530364.jpg | https://images.aqar.fm/webp/750x0/props/041087054_1785127530363.jpg | https://images.aqar.fm/webp/750x0/props/041087051_1785127530360.jpg | https://images.aqar.fm/webp/750x0/props/041087057_1785127530368.jpg | https://images.aqar.fm/webp/750x0/props/041087056_1785127530358.jpg | https://images.aqar.fm/webp/750x0/props/041087059_1785127540871.jpg | https://images.aqar.fm/webp/750x0/props/041087054_1785127540872.jpg | https://images.aqar.fm/webp/750x0/props/041087056_1785127540863.jpg | https://images.aqar.fm/webp/750x0/props/041087057_1785127540876.jpg | https://images.aqar.fm/webp/750x0/props/041087058_1785127540866.jpg | https://images.aqar.fm/webp/750x0/props/041087058_1785127540871.jpg | https://images.aqar.fm/webp/750x0/props/041087055_1785127540867.jpg,15.0,سعود المشاري,,,2026-07-27,2026-07-27,2026-07-27,2.0,2026-07-27,2739.72602739726,-0.1602121744280811,True,سعر مرتفع جدًا عن متوسط الحي (فخامة على الأغلب)
6858263,https://sa.aqar.fm/شقق-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-وادي-براد-حي-العزيزية-الرياض-منطقة-الرياض-6858263,"شقة للإيجار في شارع أبي الربيع السعدي, حي العزيزية, مدينة الرياض, منطقة الرياض",38000.0,,1.0,5.0,3.0,0.0,11.0,حي العزيزية,الرياض,جنوب الرياض,"دور اول للايجار السنوي
يتكون من
 5 غرف 
3 حمامات
1 مطبخ
مدخلين  داخليه كل مدخل منفصل
موقع مميز وقريب من جميع الخدمات
قيمة الايجار 38 الف
الدفع على دفعتين كل 6 شهور",24.59585747966753,46.77071977659606,https://images.aqar.fm/webp/750x0/props/014360122_1788597646102.jpg | https://images.aqar.fm/webp/750x0/props/014360120_1788597645929.jpg | https://images.aqar.fm/webp/750x0/props/014360124_1788597646228.jpg | https://images.aqar.fm/webp/750x0/props/014360124_1788597675784.jpg | https://images.aqar.fm/webp/750x0/props/014360121_1788597675989.jpg | https://images.aqar.fm/webp/750x0/props/014360120_1788597676061.jpg | https://images.aqar.fm/webp/750x0/props/014360123_1788597676149.jpg | https://images.aqar.fm/webp/750x0/props/014360125_1788597676228.jpg | https://images.aqar.fm/webp/750x0/props/014360128_1788597676355.jpg | https://images.aqar.fm/webp/750x0/props/014360124_1788597676439.jpg | https://images.aqar.fm/webp/750x0/props/014360128_1788597676551.jpg | https://images.aqar.fm/webp/750x0/props/014360120_1788597676711.jpg | https://images.aqar.fm/webp/750x0/props/014360125_1788597676835.jpg | https://images.aqar.fm/webp/750x0/props/014360128_1788597676915.jpg | https://images.aqar.fm/webp/750x0/props/014360128_1788597676998.jpg,15.0,علي بن يحي بن محمد عبدلي,,,2026-09-05,2026-09-06,2026-09-05,33.0,2026-09-06,38000.0,-0.15669544273024305,True,سعر مرتفع جدًا عن متوسط الحي (فخامة على الأغلب)
6851198,https://sa.aqar.fm/شقق-للإيجار/الرياض/شرق-الرياض/حي-اليرموك/شارع-المساور-حي-اليرموك-الرياض-منطقة-الرياض-6851198,شقة للإيجار في شارع المساور ، حي اليرموك ، الرياض ، منطقة الرياض,555555.0,3.0,55.0,2.0,1.0,1.0,0.0,حي اليرموك,الرياض,شرق الرياض,,24.803995,46.780437,,,تركي علي,,,2026-08-31,,2026-08-31,35.0,2026-09-01,10101.0,-0.15249924086222866,True,سعر مرتفع جدًا عن متوسط الحي (فخامة على الأغلب)
6822124,https://sa.aqar.fm/شقق-للإيجار/الرياض/شمال-الرياض/حي-الملقا/شارع-الدهناء-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6822124,"شقة للإيجار في شارع الدهناء, حي الملقا, مدينة الرياض, منطقة الرياض",380000.0,,80.0,1.0,1.0,1.0,11.0,حي الملقا,الرياض,شمال الرياض,"متوفر لدينا شقق الإيجار السنوي بشمال 
الرياض @ حي الملقا
غرفه صاله وحمام  ومطبخ 
راكب  دفعتين
متاح حي العقيق 
غرف نوم مطبخ حمام 
متوفر تاجير عن طريق منصه رأيز وايجاري 
متوفر لدينا غرف صاله مطبخ مستقل 
متوفر شقق مدخل خاص
التواصل واتس ((الرقم يظهر عند الضغط على اتصال)) ((الرقم يظهر عند الضغط على اتصال)) ((الرقم يظهر عند الضغط على اتصال))",24.812759,46.6022,https://images.aqar.fm/webp/750x0/props/051316893_1786711738106.jpg | https://images.aqar.fm/webp/750x0/props/051316893_1786711753934.jpg | https://images.aqar.fm/webp/750x0/props/051316894_1786711754106.jpg | https://images.aqar.fm/webp/750x0/props/051316890_1786711754102.jpg | https://images.aqar.fm/webp/750x0/props/051316892_1786711754245.jpg | https://images.aqar.fm/webp/750x0/props/051316892_1786711754422.jpg,6.0,فاطمه بنت حسن بن بداح القحطاني,مؤسسة فاطمه حسن القحطاني,1.0,2026-08-14,2026-08-14,2026-08-14,6.0,2026-08-14,4750.0,-0.1492666848967581,True,سعر مرتفع جدًا عن متوسط الحي (فخامة على الأغلب)
6721483,https://sa.aqar.fm/شقق-للإيجار/الرياض/شمال-الرياض/حي-العارض/حي-العارض-مدينة-الرياض-منطقة-الرياض-6721483,"شقة للإيجار في حي العارض, مدينة الرياض, منطقة الرياض",750000.0,3.0,207.0,3.0,3.0,1.0,0.0,حي العارض,الرياض,شمال الرياض,"للايجار | شقة مؤثثة بالكامل
• حي العارض (مشروع مكين 34)

مواصفات الشقة
	•	المساحة: 131 م²
	•	عدد الغرف: 3 غرف نوم
	•	غرفة ماستر مع حمّام خاص وتراس مطل
	•	الصالة: واسعة ومؤثثة بالكامل
	•	المطبخ: مجهز
	•	عدد الحمامات: 3
	•	بلكونة: مطلة على حديقة الكمبوند

الأثاث والأجهزة المتوفرة
	•	4 مكيفات سبليت
	•	غرفتا نوم مؤثثتان
	•	جلسة أرضية
	•	صالة مؤثثة بالكامل
	•	تلفزيون
	•	مدفأة
	•	طاولة قهوة
	•	طاولة بوفيه
	•	مطبخ متكامل
	•	    فرن
	•	عيون كهرباء للطبخ
	•	ماكينة قهوة

مرافق المبنى
	•	جيم نسائي وجيم رجالي (منفصل)
	•	جاكوزي نسائي ورجالي (منفصل)
	•	ساونا نسائية ورجالية (منفصل)
	•	مسابح منفصلة:
	•	مسبح نساء
	•	مسبح رجال
	•	مسبح أطفال
	•	لاونج للساكنين:
	•	لاونج نسائي
	•	لاونج رجالي
	•	يحتوي على: جلسات فاخرة، تلفزيونات، تنس طاولة صغيرة، ومطبخ
	•	حديقة خارجية
	•	موقف سيارة خارجي

الموقع
	•	العمارة مطلة مباشرة على مول وسوق التميمي
	•	موقع حيوي وقريب من جميع الخدمات

السعر : 115،000 الف دفعة او دفعتين",24.882893,46.631998,https://images.aqar.fm/webp/750x0/props/007845770_1780765520123.jpg | https://images.aqar.fm/webp/750x0/props/007845770_1780765520133.jpg | https://images.aqar.fm/webp/750x0/props/007845777_1780765520203.jpg | https://images.aqar.fm/webp/750x0/props/007845772_1780765520244.jpg | https://images.aqar.fm/webp/750x0/props/007845774_1780765520279.jpg | https://images.aqar.fm/webp/750x0/props/007845777_1780765557879.jpg | https://images.aqar.fm/webp/750x0/props/007845779_1780765557863.jpg | https://images.aqar.fm/webp/750x0/props/007845775_1780765557854.jpg | https://images.aqar.fm/webp/750x0/props/007845777_1780765557850.jpg | https://images.aqar.fm/webp/750x0/props/007845771_1780765557858.jpg | https://images.aqar.fm/webp/750x0/props/007845773_1780765557889.jpg | https://images.aqar.fm/webp/750x0/props/007845774_1780765557897.jpg | https://images.aqar.fm/webp/750x0/props/007845770_1780765557856.jpg | https://images.aqar.fm/webp/750x0/props/007845774_1780765668144.jpg | https://images.aqar.fm/webp/750x0/props/007845772_1780765668155.jpg | https://images.aqar.fm/webp/750x0/props/007845776_1780765668179.jpg | https://images.aqar.fm/webp/750x0/props/007845777_1780765668157.jpg | https://images.aqar.fm/webp/750x0/props/007845778_1780765668166.jpg | https://images.aqar.fm/webp/750x0/props/007845776_1780765668219.jpg,19.0,علي القحطاني,مؤسسة نود ريل إستيت,1.0,2026-06-06,2026-07-05,2026-07-23,139.0,2026-07-23,3623.1884057971015,-0.14705378869271268,True,سعر مرتفع جدًا عن متوسط الحي (فخامة على الأغلب)
6830846,https://sa.aqar.fm/شقق-للإيجار/الرياض/شمال-الرياض/حي-الملقا/شارع-وادي-وج-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6830846,"شقة للإيجار في شارع وادي وج, حي الملقا, مدينة الرياض, منطقة الرياض",1300000.0,3.0,167.0,3.0,4.0,1.0,0.0,حي الملقا,الرياض,شمال الرياض,"شقة فاخرة مفروشة للإيجار في حي الملقا

* شقة فاخرة مؤثثة بالكامل بتشطيب راقٍ وتصميم عصري مميز.
* تتميز بموقع استراتيجي في حي الملقا.
* تتكون الشقة من:
    * 3 غرف نوم، منها غرفة ماستر.
    * غرفة خادمة.
    * بلكونة.
    * 4 دورات مياه.
* أثاث فاخر ومتكامل.
* تشطيب فاخر وعالي الجودة.
* تصميم عملي ومريح ومناسب للسكن العائلي.
* موقع مميز وقريب من أهم الخدمات والمرافق.

للإيجار
الموقع: حي الملقا
التجهيز: مؤثثة بالكامل
التكوين: 3 غرف نوم + غرفة ماستر + غرفة خادمة + بلكونة + 4 دورات مياه",24.811592,46.612169,https://images.aqar.fm/webp/750x0/props/051366082_1787139176146.jpg | https://images.aqar.fm/webp/750x0/props/051366087_1787139193662.jpg | https://images.aqar.fm/webp/750x0/props/051366088_1787139206353.jpg | https://images.aqar.fm/webp/750x0/props/051366081_1787139219152.jpg | https://images.aqar.fm/webp/750x0/props/051366087_1787139234931.jpg | https://images.aqar.fm/webp/750x0/props/051366082_1787139253573.jpg | https://images.aqar.fm/webp/750x0/props/051366084_1787139279972.jpg | https://images.aqar.fm/webp/750x0/props/051366084_1787139279962.jpg | https://images.aqar.fm/webp/750x0/props/051366083_1787139279982.jpg | https://images.aqar.fm/webp/750x0/props/051366084_1787139309036.jpg | https://images.aqar.fm/webp/750x0/props/051366087_1787139309045.jpg | https://images.aqar.fm/webp/750x0/props/051366080_1787139309026.jpg | https://images.aqar.fm/webp/750x0/props/051366082_1787139332825.jpg | https://images.aqar.fm/webp/750x0/props/051366088_1787139354316.jpg | https://images.aqar.fm/webp/750x0/props/051366089_1787139373987.jpg | https://images.aqar.fm/webp/750x0/props/051366088_1787139391164.jpg | https://images.aqar.fm/webp/750x0/props/051366084_1787139408299.jpg | https://images.aqar.fm/webp/750x0/props/051366082_1787139426490.jpg | https://images.aqar.fm/webp/750x0/props/051366082_1787139426599.jpg | https://images.aqar.fm/webp/750x0/props/051366080_1787139447762.jpg | https://images.aqar.fm/webp/750x0/props/051366081_1787139447765.jpg,21.0,سلمان محمد,مؤسسة ديونز بيزنس سيرفيسز,1.0,2026-08-19,2026-08-19,2026-08-19,11.0,2026-08-19,7784.431137724551,-0.14124791922652125,True,سعر مرتفع جدًا عن متوسط الحي (فخامة على الأغلب)
6808253,https://sa.aqar.fm/شقق-للإيجار/الرياض/وسط-الرياض/حي-الربوة/شارع-الامير-متعب-بن-عبدالعزيز-حي-الربوة-الرياض-منطقة-الرياض-6808253,"شقة للإيجار في شارع الامير متعب بن عبدالعزيز, حي الربوة, مدينة الرياض, منطقة الرياض",220000.0,3.0,425.0,7.0,4.0,0.0,0.0,حي الربوة,الرياض,وسط الرياض,"شقة كبيرة بعمارة في دور كامل مستقل (مجددة بالكامل)

عدد 20 غرفة نوم
عدد 4 دورات مياه
سطح خارجي مستقل
منطقة غسالات ملابس
مكيفات سبيلت راكبة",24.69748456751253,46.761898876253134,https://images.aqar.fm/webp/750x0/props/022713698_1785969360497.jpg | https://images.aqar.fm/webp/750x0/props/022713690_1785969360504.jpg | https://images.aqar.fm/webp/750x0/props/022713699_1785969360624.jpg | https://images.aqar.fm/webp/750x0/props/022713697_1785969399050.jpg | https://images.aqar.fm/webp/750x0/props/022713697_1785969398909.jpg | https://images.aqar.fm/webp/750x0/props/022713697_1785969874621.jpg | https://images.aqar.fm/webp/750x0/props/022713698_1785969874622.jpg,7.0,مجاهد سليمان,,,2026-08-05,2026-08-06,2026-08-06,37.0,2026-08-07,517.6470588235294,-0.14056049537795257,True,عدد غرف كبير (شبه فيلا/كمبوند)
6737734,https://sa.aqar.fm/شقق-للإيجار/الرياض/شمال-الرياض/حي-المحمدية/شارع-حمد-بن-عبدالعزيز-حي-المحمدية-الرياض-منطقة-الرياض-6737734,شقة للإيجار في شارع حمد بن عبدالعزيز ، حي المحمدية ، الرياض ، منطقة الرياض,200000.0,3.0,200.0,7.0,3.0,2.0,0.0,حي المحمدية,الرياض,شمال الرياض,$5c,24.739584,46.649529,https://images.aqar.fm/webp/750x0/props/051587796_1781776737629.jpg | https://images.aqar.fm/webp/750x0/props/051587797_1781776737588.jpg | https://images.aqar.fm/webp/750x0/props/051587795_1781776737618.jpg | https://images.aqar.fm/webp/750x0/props/051587798_1781776737597.jpg | https://images.aqar.fm/webp/750x0/props/051587791_1781776737594.jpg,5.0,بدر بن عبدالله بن عبدالعزيز الحماد,,,2026-06-18,,2026-07-21,242.0,2026-07-29,1000.0,-0.13645969467912744,True,عدد غرف كبير (شبه فيلا/كمبوند)
6567046,https://sa.aqar.fm/شقق-للإيجار/الرياض/شمال-الرياض/حي-القيروان/شارع-مصطفى-بن-محمد-العروسي-حي-القيروان-مدينة-الرياض-منطقة-الرياض-6567046,"شقة للإيجار في شارع مصطفى بن محمد العروسي, حي القيروان, مدينة الرياض, منطقة الرياض",600000.0,3.0,99.0,3.0,3.0,0.0,1.0,حي القيروان,الرياض,شمال الرياض,"الموقع غير دقيق 

شقة VIP موثّقة ومؤثثة للإيجار السنوي | حي القيروان – موقع استثنائي | الموقع غير دقيق

شقة راقية بتصميم عصري وتفاصيل مدروسة بعناية، موثّقة رسميًا ومؤثثة بالكامل، صُممت لتوفير أعلى مستويات الراحة والخصوصية مع إطلالات داخلية مضيئة وإضاءة طبيعية جذابة.

تفاصيل الشقة:
	•	🛏 3 غرف نوم (منها غرفة ماستر)
	•	🚿 3 حمامات
	•	🛋 صالة أنيقة مضاءة طبيعيًا
	•	🍽 مطبخ متكامل
	•	☀️ منور داخلي يسمح بدخول أشعة الشمس إلى الصالة
	•	🪟 نوافذ كبيرة ممتدة تضيف إشراقة طبيعية وجاذبية بصرية
	•	☕ زاوية كوفي مخصصة مع طاولة كوفي
	•	🚗 موقف سيارة خاص
	•	🔐 نظام دخول ذكي
	•	🏢 الدور الثاني – شقة رقم (10)

الموقع المميز:
	•	📍 شارع عبدالله بن جبرين – حي القيروان
	•	⏱ دقيقة واحدة عن طريق الملك فهد
	•	🧊 بالقرب من مشروع المكعب
	•	موقع استراتيجي يخدم أسلوب حياة تنفيذي راقٍ

💰 الإيجار السنوي: 80,000 ريال

أسلوب حياة يجمع بين الفخامة، الضوء الطبيعي، والموقع الذكي… شقة مصممة لمن يقدّر التفاصيل.",24.834946,46.579925,https://images.aqar.fm/webp/750x0/props/029410224_1769667517434.jpg | https://images.aqar.fm/webp/750x0/props/029410229_1769667517435.jpg | https://images.aqar.fm/webp/750x0/props/029410225_1769667517942.jpg | https://images.aqar.fm/webp/750x0/props/029410223_1769667517758.jpg | https://images.aqar.fm/webp/750x0/props/029410224_1769667517451.jpg | https://images.aqar.fm/webp/750x0/props/029410220_1769667517439.jpg | https://images.aqar.fm/webp/750x0/props/029410221_1769667517762.jpg | https://images.aqar.fm/webp/750x0/props/029410223_1769667517444.jpg,8.0,صالحه بركه,مؤسسة اليعسوب للتطوير والاستثمار العقاري,1.0,2026-01-29,2026-07-22,2026-07-23,678.0,2026-07-23,6060.606060606061,-0.13401482923378927,True,سعر مرتفع جدًا عن متوسط الحي (فخامة على الأغلب)
6632033,https://sa.aqar.fm/شقق-للإيجار/الرياض/شمال-الرياض/حي-الصحافة/حي-الصحافة-الرياض-منطقة-الرياض-6632033,"شقة للإيجار في شارع طريق الملك فهد, حي الصحافة, مدينة الرياض, منطقة الرياض",250000.0,3.0,88.0,1.0,2.0,1.0,0.0,حي الصحافة,الرياض,شمال الرياض,"شقه في برج رافال موثثة كامل تأثيث فندقي فاخر عباره عن غرفه وصاله واسعة ودورتين مياه ومطبخ بجميع اجهزته والة كفي +wifi
ومتوفر خدمة تنظيف يومي 
موقف خاص
يوجد تأمين 5000 ريال على الأثاث والأجهزة مسترد بعد الخروج",24.792711,46.632393,https://images.aqar.fm/webp/750x0/props/010230023_1774537573423.jpg | https://images.aqar.fm/webp/750x0/props/010230022_1774537573423.jpg | https://images.aqar.fm/webp/750x0/props/010230026_1774537573424.jpg | https://images.aqar.fm/webp/750x0/props/010230029_1774537573429.jpg | https://images.aqar.fm/webp/750x0/props/010230029_1774537573435.jpg | https://images.aqar.fm/webp/750x0/props/010230028_1774537573432.jpg | https://images.aqar.fm/webp/750x0/props/010230025_1774537573440.jpg | https://images.aqar.fm/webp/750x0/props/010230024_1774537573429.jpg,8.0,عبدالعزيز بن صبيح بن حمد الصبيح,,,2026-03-26,2026-03-26,2026-07-21,960.0,2026-07-23,2840.909090909091,-0.13312343435583207,True,سعر مرتفع جدًا عن متوسط الحي (فخامة على الأغلب)
